"","morph","Cuyama","Mojave","Panoche"
"128","Mythicomyiidae 1",NA,"Y",NA
"129","Nitidulidae 1",NA,"Y",NA
"130","Octinodes 1",NA,NA,"Y"
"131","Oxyopes 1","Y","Y",NA
"132","Paratiphia 1",NA,NA,"Y"
"133","Pepsis 1",NA,"Y",NA
"134","Pheidole 1","Y",NA,"Y"
"135","Pheidole 2","Y","Y",NA
"136","Pheidole 5",NA,"Y",NA
"137","Pholcidae 1","Y","Y","Y"
"138","Phoridae 1","Y",NA,"Y"
"139","Phoridae 2","Y",NA,"Y"
"140","Pipunculidae 1","Y",NA,NA
"141","Plectreuridae 1",NA,NA,"Y"
"142","Pogonomyrmex 1","Y","Y",NA
"143","Pompilidae 1","Y","Y",NA
"144","Pompilidae 2",NA,"Y",NA
"145","Porcellio laevis 1","Y",NA,NA
"146","Pseudoscorpionida 1","Y","Y",NA
"147","Psocoptera 1","Y",NA,NA
"148","Pteromalidae 1",NA,NA,"Y"
"149","Ptininae 1","Y",NA,"Y"
"150","Rhaphidophoridae 2","Y",NA,NA
"151","Rhaphidophoridae 1","Y","Y","Y"
"152","Rhaphidophoridae 4","Y","Y",NA
"153","Rhaphidophoridae 3","Y","Y",NA
"154","Rhyparochromidae 1",NA,"Y",NA
"155","Rhyparochromidae 2",NA,NA,"Y"
"156","Salticidae 1","Y",NA,"Y"
"157","Salticidae 2","Y",NA,NA
"158","Salticidae 3","Y",NA,NA
"159","Salticidae 5",NA,"Y",NA
"160","Salticidae 4",NA,"Y",NA
"161","Sarcophagidae 2",NA,"Y",NA
"162","Sarcophagidae 1",NA,"Y",NA
"163","Sciaridae 1","Y",NA,NA
"164","Scolopendramorpha 1",NA,"Y","Y"
"165","Scorpiones 1",NA,"Y","Y"
"166","Solenopsis 1","Y","Y","Y"
"167","Solenopsis 2",NA,NA,"Y"
"168","Solfugidae 1","Y","Y",NA
"169","Staphylinidae 2","Y",NA,NA
"170","Staphylinidae 1","Y",NA,NA
"171","Tapinoma 1","Y","Y","Y"
"172","Temnothorax 1","Y",NA,NA
"173","Tenebrionidae 12","Y",NA,NA
"174","Tenebrionidae 11","Y",NA,NA
"175","Tenebrionidae 1","Y","Y","Y"
"176","Tenebrionidae 10","Y",NA,NA
"177","Tenebrionidae 4","Y","Y",NA
"178","Tenebrionidae 17","Y",NA,NA
"179","Tenebrionidae 3","Y",NA,NA
"180","Tenebrionidae 13","Y",NA,"Y"
"181","Tenebrionidae 15",NA,"Y",NA
"182","Tenebrionidae 6",NA,"Y",NA
"183","Tenebrionidae 7",NA,"Y",NA
"184","Tenebrionidae 8",NA,"Y",NA
"185","Tenebrionidae 16",NA,"Y",NA
"186","Tenebrionidae 14",NA,"Y",NA
"187","Tenebrionidae 9",NA,"Y",NA
"188","Tenebrionidae 5",NA,"Y",NA
"189","Tenebrionidae 2",NA,NA,"Y"
"190","Tettigonidae 2","Y",NA,NA
"191","Tettigonidae 1","Y",NA,NA
"192","Therevidae 1","Y",NA,NA
"193","Therevidae 2",NA,NA,"Y"
"194","Thomisidae 2","Y",NA,NA
"195","Thomisidae 1",NA,NA,"Y"
"196","Typhoctes peculiaris 1",NA,"Y",NA
"197","Ulidiidae 1",NA,"Y",NA
"198","unknown Ctenidae?",NA,"Y",NA
"199","Xanthochilus saturnius 1","Y",NA,NA
"200","Zygentoma 1",NA,"Y",NA
