year,region,site,rep,microsite,D1,D2,H,abundance,richness
2017,Mojave,2.2,19,open,,,,19,2
2017,Mojave,2.2,20,open,,,,6,2
2017,Mojave,2.2,21,open,,,,18,1
2017,Mojave,2.2,22,open,,,,9,4
2017,Mojave,2.2,23,open,,,,14,2
2017,Mojave,2.2,24,open,,,,13,2
2017,Mojave,2.2,25,open,,,,8,1
2017,Mojave,2.2,26,open,,,,29,4
2017,Mojave,2.2,27,open,,,,9,3
2017,Mojave,2.2,28,open,,,,20,2
2017,Mojave,2.2,29,open,,,,8,3
2017,Mojave,2.2,30,open,,,,20,2
2017,Mojave,2.3,1,open,,,,0,0
2017,Mojave,2.3,2,open,,,,1,1
2017,Mojave,2.3,3,open,,,,6,2
2017,Mojave,2.3,4,open,,,,5,2
2017,Mojave,2.3,5,open,,,,13,4
2017,Mojave,2.3,6,open,,,,24,4
2017,Mojave,2.3,7,open,,,,22,3
2017,Mojave,2.3,8,open,,,,13,4
2017,Mojave,2.3,9,open,,,,14,3
2017,Mojave,2.3,10,open,,,,7,3
2017,Mojave,2.3,11,open,,,,6,1
2017,Mojave,2.3,12,open,,,,7,3
2017,Mojave,2.3,13,open,,,,21,3
2017,Mojave,2.3,14,open,,,,13,4
2017,Mojave,2.3,15,open,,,,19,4
2017,Mojave,2.3,16,open,,,,11,3
2017,Mojave,2.3,17,open,,,,24,3
2017,Mojave,2.3,18,open,,,,28,4
2017,Mojave,2.3,19,open,,,,39,3
2017,Mojave,2.3,20,open,,,,39,3
2017,Mojave,2.3,21,open,,,,21,3
2017,Mojave,2.3,22,open,,,,12,3
2017,Mojave,2.3,23,open,,,,37,5
2017,Mojave,2.3,24,open,,,,35,4
2017,Mojave,2.3,25,open,,,,27,5
2017,Mojave,2.3,26,open,,,,10,2
2017,Mojave,2.3,27,open,,,,6,1
2017,Mojave,2.3,28,open,,,,6,2
2017,Mojave,2.3,29,open,,,,1,1
2017,Mojave,2.3,30,open,,,,45,4
2017,Mojave,2.4,1,open,,,,9,3
2017,Mojave,2.4,2,open,,,,9,3
2017,Mojave,2.4,3,open,,,,12,4
2017,Mojave,2.4,4,open,,,,15,4
2017,Mojave,2.4,5,open,,,,3,1
2017,Mojave,2.4,6,open,,,,7,2
2017,Mojave,2.4,7,open,,,,18,4
2017,Mojave,2.4,8,open,,,,13,2
2017,Mojave,2.4,9,open,,,,15,2
2017,Mojave,2.4,10,open,,,,18,3
2017,Mojave,2.4,11,open,,,,15,3
2017,Mojave,2.4,12,open,,,,14,4
2017,Mojave,2.4,13,open,,,,18,4
2017,Mojave,2.4,14,open,,,,38,4
2017,Mojave,2.4,15,open,,,,17,4
2017,Mojave,2.4,16,open,,,,18,2
2017,Mojave,2.4,17,open,,,,37,3
2017,Mojave,2.4,18,open,,,,5,3
2017,Mojave,2.4,19,open,,,,9,3
2017,Mojave,2.4,20,open,,,,12,2
2017,Mojave,2.4,21,open,,,,13,2
2017,Mojave,2.4,22,open,,,,23,4
2017,Mojave,2.4,23,open,,,,22,3
2017,Mojave,2.4,24,open,,,,4,2
2017,Mojave,2.4,25,open,,,,15,2
2017,Mojave,2.4,26,open,,,,10,4
2017,Mojave,2.4,27,open,,,,22,3
2017,Mojave,2.4,28,open,,,,18,3
2017,Mojave,2.4,29,open,,,,30,2
2017,Mojave,2.4,30,open,,,,13,3
2017,Mojave,2.5,1,open,,,,5,2
2017,Mojave,2.5,2,open,,,,9,3
2017,Mojave,2.5,3,open,,,,13,2
2017,Mojave,2.5,4,open,,,,13,2
2017,Mojave,2.5,5,open,,,,17,1
2017,Mojave,2.5,6,open,,,,5,2
2017,Mojave,2.5,7,open,,,,9,1
2017,Mojave,2.5,8,open,,,,7,3
2017,Mojave,2.5,9,open,,,,13,2
2017,Mojave,2.5,10,open,,,,10,2
2017,Mojave,2.5,11,open,,,,8,1
2017,Mojave,2.5,12,open,,,,16,1
2017,Mojave,2.5,13,open,,,,4,2
2017,Mojave,2.5,14,open,,,,19,1
2017,Mojave,2.5,15,open,,,,11,1
2017,Mojave,2.5,16,open,,,,8,1
2017,Mojave,2.5,17,open,,,,5,1
2017,Mojave,2.5,18,open,,,,2,2
2017,Mojave,2.5,19,open,,,,2,1
2017,Mojave,2.5,20,open,,,,23,4
2017,Mojave,2.5,21,open,,,,6,2
2017,Mojave,2.5,22,open,,,,4,2
2017,Mojave,2.5,23,open,,,,13,3
2017,Mojave,2.5,24,open,,,,16,2
2017,Mojave,2.5,25,open,,,,15,1
2017,Mojave,2.5,26,open,,,,16,2
2017,Mojave,2.5,27,open,,,,21,4
2017,Mojave,2.5,28,open,,,,8,1
2017,Mojave,2.5,29,open,,,,8,1
2017,Mojave,2.5,30,open,,,,5,1
2017,Mojave,2.1,1,shrub,1.68,1.62,1.51,14,3
2017,Mojave,2.1,2,shrub,1.08,1.25,1.55,36,3
2017,Mojave,2.1,3,shrub,1.64,1.95,1.49,20,4
2017,Mojave,2.1,4,shrub,1.55,1.51,1.37,30,2
2017,Mojave,2.1,5,shrub,1.32,1.37,0.75,29,3
2017,Mojave,2.1,6,shrub,1.58,1.81,1.1,16,3
2017,Mojave,2.1,7,shrub,1.39,0.92,0.94,40,4
2017,Mojave,2.1,8,shrub,2.14,2.41,1.35,15,4
2017,Mojave,2.1,9,shrub,1.78,1.51,1.4,31,3
2017,Mojave,2.1,10,shrub,0.98,0.96,0.97,21,2
2017,Mojave,2.1,11,shrub,1.48,1.36,1.25,25,3
2017,Mojave,2.1,12,shrub,1.04,0.69,0.55,42,5
2017,Mojave,2.1,13,shrub,0.86,0.89,0.83,28,3
2017,Mojave,2.1,14,shrub,1.06,0.96,0.88,31,3
2017,Mojave,2.1,15,shrub,1.71,1.2,1.09,24,3
2017,Mojave,2.1,16,shrub,1.93,2.62,1.19,37,3
2017,Mojave,2.1,17,shrub,2.09,2.56,1.07,7,2
2017,Mojave,2.1,18,shrub,1.64,1.81,1.05,39,2
2017,Mojave,2.1,19,shrub,1.35,0.11,0.76,19,3
2017,Mojave,2.1,20,shrub,1.35,1.29,0.81,19,3
2017,Mojave,2.1,21,shrub,1.59,1.7,0.76,24,3
2017,Mojave,2.1,22,shrub,1.59,1.44,1.1,24,2
2017,Mojave,2.1,23,shrub,1.66,1.06,1.07,22,3
2017,Mojave,2.1,24,shrub,2.5,2.43,1.51,20,3
2017,Mojave,2.1,25,shrub,1.63,1.84,1.43,16,3
2017,Mojave,2.1,26,shrub,1.67,1.63,1.54,20,4
2017,Mojave,2.1,27,shrub,1.56,1.52,1.35,19,2
2017,Mojave,2.1,28,shrub,1.38,1.52,0.8,13,3
2017,Mojave,2.1,29,shrub,1.74,1.66,1.51,26,3
2017,Mojave,2.1,30,shrub,1.79,1.72,1.14,13,3
2017,Mojave,2.2,1,shrub,2.14,2,1.45,71,3
2017,Mojave,2.2,2,shrub,3.12,1.7,1.11,67,2
2017,Mojave,2.2,3,shrub,1.53,1.33,0.58,68,2
2017,Mojave,2.2,4,shrub,1.42,1.11,1.03,73,3
2017,Mojave,2.2,5,shrub,1.05,1.01,0.91,93,2
2017,Mojave,2.2,6,shrub,1.01,1.01,0.71,55,3
2017,Mojave,2.2,7,shrub,1.3,1.32,1.19,58,4
2017,Mojave,2.2,8,shrub,2.45,3.1,1.71,50,3
2017,Mojave,2.2,9,shrub,1.41,2.73,1.48,66,4
2017,Mojave,2.2,10,shrub,2.08,1.56,1.62,77,3
2017,Mojave,2.2,11,shrub,2.1,1.59,1.1,72,2
2017,Mojave,2.2,12,shrub,1.87,1.65,1.3,78,1
2017,Mojave,2.2,13,shrub,1.49,1.29,1.11,81,4
2017,Mojave,2.2,14,shrub,2.77,2.75,1.74,17,5
2017,Mojave,2.2,15,shrub,2.03,2.19,1.46,47,4
2017,Mojave,2.2,16,shrub,3.34,3.35,1.46,39,1
2017,Mojave,2.2,17,shrub,1.19,2.26,1.18,91,2
2017,Mojave,2.2,18,shrub,2.97,3.46,1.66,85,2
2017,Mojave,2.2,19,shrub,2.98,2.47,1.98,40,3
2017,Mojave,2.2,20,shrub,3.15,2.22,2.07,74,3
2017,Mojave,2.2,21,shrub,2.78,2.16,1.79,79,2
2017,Mojave,2.2,22,shrub,2.69,2.76,1.9,61,3
2017,Mojave,2.2,23,shrub,3.26,3.44,1.97,59,1
2017,Mojave,2.2,24,shrub,2.22,1.79,1.2,51,3
2017,Mojave,2.2,25,shrub,2.54,2.2,1.57,65,2
2017,Mojave,2.2,26,shrub,2.46,2.79,1.47,41,2
2017,Mojave,2.2,27,shrub,2.41,2.2,1.19,58,1
2017,Mojave,2.2,28,shrub,2.65,2.68,1.89,73,2
2017,Mojave,2.2,29,shrub,3.42,3.44,1.68,37,3
2017,Mojave,2.2,30,shrub,2.66,2.46,1.79,91,3
2017,Mojave,2.3,1,shrub,2.72,2.66,1.35,34,5
2017,Mojave,2.3,2,shrub,1.99,2.23,1.8,33,5
2017,Mojave,2.3,3,shrub,3.12,1.97,1.81,38,4
2017,Mojave,2.3,4,shrub,1.47,1.93,1.41,31,3
2017,Mojave,2.3,5,shrub,2.11,1.9,1.4,23,3
2017,Mojave,2.3,6,shrub,3.22,3.9,1.95,47,5
2017,Mojave,2.3,7,shrub,2.53,2.54,1.49,35,4
2017,Mojave,2.3,8,shrub,2.62,2.82,1.43,78,4
2017,Mojave,2.3,9,shrub,2.55,2.08,1.44,45,5
2017,Mojave,2.3,10,shrub,1.96,1.67,1.19,36,3
2017,Mojave,2.3,11,shrub,2.75,3.89,1.4,31,5
2017,Mojave,2.3,12,shrub,2.83,3.13,1.66,89,4
2017,Mojave,2.3,13,shrub,2.69,1.7,1.66,47,5
2017,Mojave,2.3,14,shrub,2.84,1.96,1.99,38,5
2017,Mojave,2.3,15,shrub,3.78,3.72,1.64,96,4
2017,Mojave,2.3,16,shrub,164,188,128,39,4
2017,Mojave,2.3,17,shrub,141,273,148,15,4
2017,Mojave,2.3,18,shrub,198,151,119,44,6
2017,Mojave,2.3,19,shrub,208,156,162,65,6
2017,Mojave,2.3,20,shrub,210,183,111,47,5
2017,Mojave,2.3,21,shrub,210,159,110,38,5
2017,Mojave,2.3,22,shrub,198,215,167,52,4
2017,Mojave,2.3,23,shrub,187,165,130,73,5
2017,Mojave,2.3,24,shrub,154,116,167,60,4
2017,Mojave,2.3,25,shrub,149,129,111,56,4
2017,Mojave,2.3,26,shrub,213,207,170,71,5
2017,Mojave,2.3,27,shrub,277,275,174,92,2
2017,Mojave,2.3,28,shrub,114,93,72,53,5
2017,Mojave,2.3,29,shrub,203,219,146,27,6
2017,Mojave,2.3,30,shrub,136,92,138,60,5
2017,Mojave,2.4,1,shrub,334,335,146,86,3
2017,Mojave,2.4,2,shrub,288,269,170,84,6
2017,Mojave,2.4,3,shrub,119,226,118,73,3
2017,Mojave,2.4,4,shrub,324,270,129,57,5
2017,Mojave,2.4,5,shrub,297,346,166,51,4
2017,Mojave,2.4,6,shrub,217,255,102,61,4
2017,Mojave,2.4,7,shrub,298,247,198,69,4
2017,Mojave,2.4,8,shrub,188,177,132,48,4
2017,Mojave,2.4,9,shrub,315,222,207,77,3
2017,Mojave,2.4,10,shrub,305,249,149,49,5
2017,Mojave,2.4,11,shrub,278,216,179,59,5
2017,Mojave,2.4,12,shrub,282,357,151,59,5
2017,Mojave,2.4,13,shrub,269,276,190,40,5
2017,Mojave,2.4,14,shrub,197,280,296,81,4
2017,Mojave,2.4,15,shrub,326,344,197,59,4
2017,Mojave,2.4,16,shrub,273,240,163,45,4
2017,Mojave,2.4,17,shrub,222,179,120,57,5
2017,Mojave,2.4,18,shrub,227,256,140,41,5
2017,Mojave,2.4,19,shrub,254,220,157,28,4
2017,Mojave,2.4,20,shrub,352,341,207,57,6
2017,Mojave,2.4,21,shrub,246,279,147,46,4
2017,Mojave,2.4,22,shrub,186,153,98,61,4
2017,Mojave,2.4,23,shrub,241,220,119,71,4
2017,Mojave,2.4,24,shrub,232,163,165,43,3
2017,Mojave,2.4,25,shrub,265,268,189,57,4
2017,Mojave,2.4,26,shrub,244,375,178,45,6
2017,Mojave,2.4,27,shrub,342,344,168,54,6
2017,Mojave,2.4,28,shrub,331,271,179,81,3
2017,Mojave,2.4,29,shrub,266,246,179,61,2
2017,Mojave,2.4,30,shrub,217,179,174,33,5
2017,Mojave,2.5,1,shrub,272,266,135,38,2
2017,Mojave,2.5,2,shrub,246,291,166,62,3
2017,Mojave,2.5,3,shrub,199,223,180,47,4
2017,Mojave,2.5,4,shrub,184,262,185,39,2
2017,Mojave,2.5,5,shrub,312,197,181,50,3
2017,Mojave,2.5,6,shrub,261,150,169,40,4
2017,Mojave,2.5,7,shrub,147,193,141,44,4
2017,Mojave,2.5,8,shrub,222,149,166,48,3
2017,Mojave,2.5,9,shrub,211,190,140,52,3
2017,Mojave,2.5,10,shrub,118,285,186,70,4
2017,Mojave,2.5,11,shrub,322,390,195,29,2
2017,Mojave,2.5,12,shrub,204,195,151,34,3
2017,Mojave,2.5,13,shrub,253,254,149,51,3
2017,Mojave,2.5,14,shrub,295,321,141,61,1
2017,Mojave,2.5,15,shrub,262,282,143,47,1
2017,Mojave,2.5,16,shrub,298,310,150,38,2
2017,Mojave,2.5,17,shrub,255,208,144,46,2
2017,Mojave,2.5,18,shrub,320,256,169,47,2
2017,Mojave,2.5,19,shrub,196,167,119,47,3
2017,Mojave,2.5,20,shrub,266,326,130,65,4
2017,Mojave,2.5,21,shrub,275,389,140,43,3
2017,Mojave,2.5,22,shrub,227,295,130,32,2
2017,Mojave,2.5,23,shrub,283,313,166,53,4
2017,Mojave,2.5,24,shrub,235,231,130,51,2
2017,Mojave,2.5,25,shrub,269,170,166,66,3
2017,Mojave,2.5,26,shrub,276,270,155,69,3
2017,Mojave,2.5,27,shrub,284,196,199,47,4
2017,Mojave,2.5,28,shrub,315,306,150,74,2
2017,Mojave,2.5,29,shrub,378,372,164,56,3
2017,Mojave,2.5,30,shrub,31,327,196,46,1
2017,Panoche,1.1,1,open,,,,175,3
2017,Panoche,1.1,2,open,,,,161,4
2017,Panoche,1.1,3,open,,,,142,2
2017,Panoche,1.1,4,open,,,,143,3
2017,Panoche,1.1,5,open,,,,162,3
2017,Panoche,1.1,6,open,,,,146,3
2017,Panoche,1.1,7,open,,,,141,3
2017,Panoche,1.1,8,open,,,,129,2
2017,Panoche,1.1,9,open,,,,131,2
2017,Panoche,1.1,10,open,,,,205,3
2017,Panoche,1.1,11,open,,,,185,2
2017,Panoche,1.1,12,open,,,,163,3
2017,Panoche,1.1,13,open,,,,170,2
2017,Panoche,1.1,14,open,,,,128,3
2017,Panoche,1.1,15,open,,,,131,4
2017,Panoche,1.1,16,open,,,,116,3
2017,Panoche,1.1,17,open,,,,169,2
2017,Panoche,1.1,18,open,,,,143,2
2017,Panoche,1.1,19,open,,,,136,2
2017,Panoche,1.1,20,open,,,,148,2
2017,Panoche,1.1,21,open,,,,129,3
2017,Panoche,1.1,22,open,,,,117,3
2017,Panoche,1.1,23,open,,,,140,3
2017,Panoche,1.1,24,open,,,,165,4
2017,Panoche,1.1,25,open,,,,134,2
2017,Panoche,1.1,26,open,,,,186,2
2017,Panoche,1.1,27,open,,,,172,3
2017,Panoche,1.1,28,open,,,,200,3
2017,Panoche,1.1,29,open,,,,137,2
2017,Panoche,1.1,30,open,,,,116,2
2017,Panoche,1.2,1,open,,,,119,5
2017,Panoche,1.2,2,open,,,,78,4
2017,Panoche,1.2,3,open,,,,47,4
2017,Panoche,1.2,4,open,,,,74,4
2017,Panoche,1.2,5,open,,,,68,5
2017,Panoche,1.2,6,open,,,,81,5
2017,Panoche,1.2,7,open,,,,55,4
2017,Panoche,1.2,8,open,,,,57,5
2017,Panoche,1.2,9,open,,,,87,3
2017,Panoche,1.2,10,open,,,,85,4
2017,Panoche,1.2,11,open,,,,79,4
2017,Panoche,1.2,12,open,,,,87,4
2017,Panoche,1.2,13,open,,,,61,4
2017,Panoche,1.2,14,open,,,,39,4
2017,Panoche,1.2,15,open,,,,78,5
2017,Panoche,1.2,16,open,,,,75,5
2017,Panoche,1.2,17,open,,,,74,6
2017,Panoche,1.2,18,open,,,,68,5
2017,Panoche,1.2,19,open,,,,37,5
2017,Panoche,1.2,20,open,,,,65,4
2017,Panoche,1.2,21,open,,,,75,4
2017,Panoche,1.2,22,open,,,,95,4
2017,Panoche,1.2,23,open,,,,62,6
2017,Panoche,1.2,24,open,,,,91,4
2017,Panoche,1.2,25,open,,,,77,3
2017,Panoche,1.2,26,open,,,,124,5
2017,Panoche,1.2,27,open,,,,68,5
2017,Panoche,1.2,28,open,,,,26,5
2017,Panoche,1.2,29,open,,,,71,5
2017,Panoche,1.2,30,open,,,,126,5
2017,Panoche,1.3,1,open,,,,82,4
2017,Panoche,1.3,2,open,,,,124,4
2017,Panoche,1.3,3,open,,,,92,4
2017,Panoche,1.3,4,open,,,,167,4
2017,Panoche,1.3,5,open,,,,126,3
2017,Panoche,1.3,6,open,,,,91,4
2017,Panoche,1.3,7,open,,,,145,3
2017,Panoche,1.3,8,open,,,,239,3
2017,Panoche,1.3,9,open,,,,198,3
2017,Panoche,1.3,10,open,,,,216,2
2017,Panoche,1.3,11,open,,,,155,2
2017,Panoche,1.3,12,open,,,,193,3
2017,Panoche,1.3,13,open,,,,156,3
2017,Panoche,1.3,14,open,,,,192,3
2017,Panoche,1.3,15,open,,,,185,4
2017,Panoche,1.3,16,open,,,,204,3
2017,Panoche,1.3,17,open,,,,129,3
2017,Panoche,1.3,18,open,,,,195,2
2017,Panoche,1.3,19,open,,,,208,4
2017,Panoche,1.3,20,open,,,,123,3
2017,Panoche,1.3,21,open,,,,197,2
2017,Panoche,1.3,22,open,,,,199,4
2017,Panoche,1.3,23,open,,,,140,3
2017,Panoche,1.3,24,open,,,,197,4
2017,Panoche,1.3,25,open,,,,163,3
2017,Panoche,1.3,26,open,,,,176,3
2017,Panoche,1.3,27,open,,,,177,2
2017,Panoche,1.3,28,open,,,,254,3
2017,Panoche,1.3,29,open,,,,157,4
2017,Panoche,1.3,30,open,,,,233,2
2017,Panoche,1.1,1,shrub,2.23,2.4,1.12,221,1
2017,Panoche,1.1,2,shrub,2.63,2.9,1.07,192,1
2017,Panoche,1.1,3,shrub,3.25,2.2,1.3,167,1
2017,Panoche,1.1,4,shrub,3.05,2.5,0.9,112,1
2017,Panoche,1.1,5,shrub,2.95,1.6,1.1,179,1
2017,Panoche,1.1,6,shrub,2.45,2.3,1.15,212,1
2017,Panoche,1.1,7,shrub,2.3,2.5,1.3,241,1
2017,Panoche,1.1,8,shrub,1.6,1.45,1.3,77,2
2017,Panoche,1.1,9,shrub,1.8,1.4,0.9,92,1
2017,Panoche,1.1,10,shrub,1.9,2,1.05,211,1
2017,Panoche,1.1,11,shrub,1.85,2.05,1.1,245,1
2017,Panoche,1.1,12,shrub,2.8,2.75,1.2,250,1
2017,Panoche,1.1,13,shrub,1.1,1.25,0.95,101,2
2017,Panoche,1.1,14,shrub,3.3,1.65,1.2,244,1
2017,Panoche,1.1,15,shrub,2.8,2.1,1.35,264,1
2017,Panoche,1.1,16,shrub,3.1,2.85,1.25,266,1
2017,Panoche,1.1,17,shrub,2.35,2.8,1.2,211,1
2017,Panoche,1.1,18,shrub,3.64,4.73,1.9,260,1
2017,Panoche,1.1,19,shrub,1.6,1.45,0.9,170,1
2017,Panoche,1.1,20,shrub,3.39,4.24,1.8,198,1
2017,Panoche,1.1,21,shrub,3.5,4.35,1.65,330,1
2017,Panoche,1.1,22,shrub,2.94,2.72,1.4,216,1
2017,Panoche,1.1,23,shrub,2.9,2.44,1.37,296,1
2017,Panoche,1.1,24,shrub,3.59,3.05,1.1,258,2
2017,Panoche,1.1,25,shrub,3.05,2.88,1.59,266,1
2017,Panoche,1.1,26,shrub,3.5,2.64,1.84,240,1
2017,Panoche,1.1,27,shrub,2.7,3.94,1.63,286,1
2017,Panoche,1.1,28,shrub,3.52,4.27,1.74,217,1
2017,Panoche,1.1,29,shrub,2.13,3.73,1.31,268,2
2017,Panoche,1.1,30,shrub,2.53,3.16,1.37,219,2
2017,Panoche,1.2,1,shrub,2.49,1.8,0.87,109,2
2017,Panoche,1.2,2,shrub,1.98,2.31,0.63,129,3
2017,Panoche,1.2,3,shrub,3.44,2.38,1.22,149,4
2017,Panoche,1.2,4,shrub,2.13,3.02,0.85,181,3
2017,Panoche,1.2,5,shrub,1.69,2.27,1.36,148,1
2017,Panoche,1.2,6,shrub,1.49,2.38,0.96,147,4
2017,Panoche,1.2,7,shrub,3.22,1.89,1.25,161,1
2017,Panoche,1.2,8,shrub,2.25,1.85,1.32,89,1
2017,Panoche,1.2,9,shrub,2.02,2.85,1.29,150,1
2017,Panoche,1.2,10,shrub,1.65,1.72,1.04,139,3
2017,Panoche,1.2,11,shrub,1.8,1.43,1.06,202,3
2017,Panoche,1.2,12,shrub,2.2,2.08,0.55,123,3
2017,Panoche,1.2,13,shrub,1.8,2,1.36,213,1
2017,Panoche,1.2,14,shrub,3.2,3.11,1.49,110,3
2017,Panoche,1.2,15,shrub,3.1,2.49,1.5,134,1
2017,Panoche,1.2,16,shrub,1.2,1.86,0.9,182,4
2017,Panoche,1.2,17,shrub,2.46,2.49,1.22,70,4
2017,Panoche,1.2,18,shrub,2.16,2.39,1.39,207,1
2017,Panoche,1.2,19,shrub,2.26,2.07,0.87,180,3
2017,Panoche,1.2,20,shrub,2.2,2.53,1.2,216,3
2017,Panoche,1.2,21,shrub,2.46,2.98,1.03,98,1
2017,Panoche,1.2,22,shrub,1.38,1.55,0.69,183,1
2017,Panoche,1.2,23,shrub,2.12,2.93,1.43,127,4
2017,Panoche,1.2,24,shrub,2.1,3.46,1.43,75,1
2017,Panoche,1.2,25,shrub,2.58,3.08,1.32,165,1
2017,Panoche,1.2,26,shrub,1.87,1.27,0.99,179,1
2017,Panoche,1.2,27,shrub,2.1,2.02,1.31,112,1
2017,Panoche,1.2,28,shrub,2.26,1.49,1.01,175,3
2017,Panoche,1.2,29,shrub,2.34,1.77,0.82,210,1
2017,Panoche,1.2,30,shrub,2.13,1.94,1.3,101,2
2017,Panoche,1.3,1,shrub,4.64,3.87,1.64,235,1
2017,Panoche,1.3,2,shrub,3.36,2.57,1.59,198,1
2017,Panoche,1.3,3,shrub,4.26,2.17,1.76,229,1
2017,Panoche,1.3,4,shrub,1.37,1.08,0.58,251,1
2017,Panoche,1.3,5,shrub,3.47,2.51,1.41,232,1
2017,Panoche,1.3,6,shrub,4.44,4,1.96,196,1
2017,Panoche,1.3,7,shrub,2.55,1.97,1.17,238,2
2017,Panoche,1.3,8,shrub,2.46,2.17,1.81,278,1
2017,Panoche,1.3,9,shrub,1.58,1.98,1.21,246,1
2017,Panoche,1.3,10,shrub,5.64,4.82,2.48,296,1
2017,Panoche,1.3,11,shrub,2.42,2.59,1.72,244,1
2017,Panoche,1.3,12,shrub,3.87,4.73,1.68,191,1
2017,Panoche,1.3,13,shrub,4.72,4.07,1.84,214,1
2017,Panoche,1.3,14,shrub,2.57,3.55,1.69,149,2
2017,Panoche,1.3,15,shrub,2.01,1.48,0.55,161,1
2017,Panoche,1.3,16,shrub,2.97,3.2,1.43,231,1
2017,Panoche,1.3,17,shrub,1.91,1.84,1.21,259,1
2017,Panoche,1.3,18,shrub,4.86,4.55,1.57,347,1
2017,Panoche,1.3,19,shrub,1.68,3.26,0.89,233,1
2017,Panoche,1.3,20,shrub,2.81,2.64,0.92,174,2
2017,Panoche,1.3,21,shrub,3.49,3.64,1.57,204,1
2017,Panoche,1.3,22,shrub,1.53,3.38,0.69,206,1
2017,Panoche,1.3,23,shrub,3.93,2.61,1.17,312,1
2017,Panoche,1.3,24,shrub,3.21,2.79,1.52,180,2
2017,Panoche,1.3,25,shrub,2.48,2.81,1.62,152,2
2017,Panoche,1.3,26,shrub,3.61,1.98,1.8,301,1
2017,Panoche,1.3,27,shrub,5.64,6.03,2.07,312,1
2017,Panoche,1.3,28,shrub,2.86,3.55,1.36,169,1
2017,Panoche,1.3,29,shrub,3.34,2.57,1.22,169,2
2017,Panoche,1.3,30,shrub,2.2,2.17,1.36,220,1
2016,Mojave,2.5,1,open,,,,15,4
2016,Mojave,2.5,2,open,,,,6,3
2016,Mojave,2.5,3,open,,,,2,1
2016,Mojave,2.5,4,open,,,,2,2
2016,Mojave,2.5,5,open,,,,16,4
2016,Mojave,2.5,6,open,,,,7,4
2016,Mojave,2.5,7,open,,,,3,2
2016,Mojave,2.5,8,open,,,,9,3
2016,Mojave,2.5,9,open,,,,8,2
2016,Mojave,2.5,10,open,,,,0,0
2016,Mojave,2.5,11,open,,,,1,1
2016,Mojave,2.5,12,open,,,,1,1
2016,Mojave,2.5,13,open,,,,16,4
2016,Mojave,2.5,14,open,,,,10,2
2016,Mojave,2.5,15,open,,,,10,3
2016,Mojave,2.5,16,open,,,,14,3
2016,Mojave,2.5,17,open,,,,3,2
2016,Mojave,2.5,18,open,,,,0,0
2016,Mojave,2.5,19,open,,,,14,3
2016,Mojave,2.5,20,open,,,,18,5
2016,Mojave,2.5,21,open,,,,0,0
2016,Mojave,2.5,22,open,,,,6,2
2016,Mojave,2.5,23,open,,,,18,1
2016,Mojave,2.5,24,open,,,,47,4
2016,Mojave,2.5,25,open,,,,24,3
2016,Mojave,2.5,26,open,,,,1,1
2016,Mojave,2.5,27,open,,,,7,3
2016,Mojave,2.5,28,open,,,,8,3
2016,Mojave,2.5,29,open,,,,0,0
2016,Mojave,2.5,30,open,,,,1,1
2016,Mojave,2.4,1,open,,,,8,2
2016,Mojave,2.4,2,open,,,,31,3
2016,Mojave,2.4,3,open,,,,9,4
